,Tanggal Tweet,Username,Tweet,Sentimen
10,2022-09-22 08:25:01+00:00,Marbot_Udien,"Mengacu pada Undang-Undang Perlindungan Data Pribadi (UU PDP), bahwa perusahaan atau korporasi yang sengaja membocorkan data pribadi milik masyarakat akan didenda maksimal Rp 60 Miliar.
@PlateJohnny @kemkominfo https://t.co/OlItACODgc",netral
11,2022-09-22 01:33:52+00:00,Dewi__Ku,"Jamin Hak Warga Negara, Menteri Johnny: Indonesia Jadi Negara Kelima di ASEAN Miliki Aturan Data Pribadi

Menteri @PlateJohnny menegaskan keberadaan UU PDP akan menjamin hak warga negara sesuai amanat Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
@kemkominfo https://t.co/rMDMqtUiSo",netral
12,2022-09-22 01:32:12+00:00,Cahaya_Dfa,"Dewan Perwakilan Rakyat dan Pemerintah telah menyetujui Rancangan Undang Undang (RUU) Pelindungan Data Pribadi (PDP). Selanjutnya RUU PDP tersebut akan disampaikan DPR kepada Presiden untuk disahkan dan diundangkan dalam Lembaran Negara.
@PlateJohnny @kemkominfo https://t.co/7sJm5UIuxA",netral
13,2022-09-22 01:08:19+00:00,Dewi__Ku,"UU PDP Disahkan, @PlateJohnny: Tonggak Sejarah Kemajuan Perlindungan Data di Indonesia

Hal itu karena @DPR_RI telah mengesahkan legislasi primer yg menjadi payung hukum pertama perlindungan data pribadi di Indonesia, yakni Undang-undang Perlindungan Data Pribadi alias UU PDP. https://t.co/FX82b9XAfe",netral
14,2022-09-21 17:15:50+00:00,Flam3OfV,"Senangnya akhirnya undang-undang Perlindungan Data Pribadi (PDP) disahkan oleh DPR yang akan menjadi payung hukum bagi kita masyarakat dalam melindungi data pribadi kita masing-masing.
@kemkominfo 
@PlateJohnny https://t.co/4oiq0dBH45",positif
15,2022-09-21 16:54:33+00:00,Hodyforesta,@hyang_wisnu @SydneyX5w @kemkominfo @PlateJohnny @jokowi @Aryprasetyo85 @03__nakula @Marbot_Udien @miicies @zhymme @DS_yantie @delArdian_ @farrel27 Nunggu Ada hacker Baru mau bikin dan keluarkan undang undangnya...?,negatif
16,2022-09-21 15:49:32+00:00,tinqts2,"Akhirnya, pada 20 September 2022 RUU PDP disahkan menjadi undang-undang (UU). Rapat pengesahan ini dihadiri oleh 295 anggota dewan, 73 anggota hadir secara fisik, 206 anggota hadir secara virtual. Sedangkan, 16 anggota tak hadir.
@PlateJohnny
@kemkominfo
https://t.co/lWkvZD5DYZ",netral
17,2022-09-21 15:48:00+00:00,tinqts2,"Perjalanan panjang Kominfo sejak Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP) diinisiasi pada 2016, akhirnya perjuangan telah membuahkan hasil
@PlateJohnny
@kemkominfo
https://t.co/fM0Ucekgzq",positif
18,2022-09-21 15:38:37+00:00,tinqts2,"Dewan Perwakilan Rakyat Republik Indonesia (DPR RI) telah mengesahkan Rancangan Undang-Undang Pelindung Data Pribadi (PDP) menjadi UU

@PlateJohnny
@kemkominfo
https://t.co/pyj9Xl8Kwr",netral
19,2022-09-21 13:44:27+00:00,Dewi__Ku,"UU PDP Disahkan! Hadiah Ulang Tahun @kemkominfo untuk Indonesia

Perjalanan panjang Kominfo sejak Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP) diinisiasi pada 2016.  
@PlateJohnny
https://t.co/lWCjn4p1tm",positif
20,2022-09-21 13:39:23+00:00,Cahaya_Dfa,"Selasa 20 September 2022, Undang Undang Perlindungan Data Pribadi disahkan dalam rapat paripurna @DPR_RI 

@kemkominfo @PlateJohnny
https://t.co/hmBoaemft4",netral
21,2022-09-21 13:24:14+00:00,tinqts2,"Rapat paripurna kelima DPR, masa persidangan I tahun 2022-2023

Undang-undang Perlindungan Data Pribadi (RUU PDP)  resmi disahkan pada 
Selasa (20/9/2022), 
@PlateJohnny 
@kemkominfo 
@puanmaharani_ri 
@DPR_RI https://t.co/1enL9xgRQB",netral
22,2022-09-21 13:01:22+00:00,sonyakei_,"DPR mengesahkan Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP) dalam Rapat Paripurna kelima Masa Persidangan I tahun sidang 2022-2023, Selasa (20/9/2022).
@PlateJohnny 
@kemkominfo https://t.co/g48IzTN8aE",netral
23,2022-09-21 12:07:55+00:00,Rizky2Ratu,"@hyang_wisnu @BSSN_RI @kemkominfo @DivHumas_Polri @PlateJohnny @jokowi Pemerintah bersama DPR kini tengah bersiap lakukan pengesahan Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP).
@kemkominfo @PlateJohnny",netral
24,2022-09-21 11:17:39+00:00,EfendiEi,"Undang Undang Perlindungan Data Pribadi Disahkan Hari Ini. 🇮🇩

@kemkominfo @PlateJohnny
https://t.co/CGBG7SLWhi",netral
25,2022-09-21 11:00:27+00:00,GarudaWisnu11,"Pemerintah bersama DPR RI telah menyetujui Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP) menjadi legislasi primer untuk menjadi payung utama Pelindungan Data Pribadi di Indonesia.
@PlateJohnny 
@kemkominfo https://t.co/nnNuTQuXN9",netral
26,2022-09-21 08:28:11+00:00,hoLLpath,"@Cahaya_Dfa @Aryprasetyo85 @PlateJohnny @kemkominfo Miskin visi n misi 🤦‍♂️😭
Kok kelasnya baru punya aturan data pribadi sj dibangga2kan
Apa kabar dgn PDN yg gaak jelas progressnya 
Apa kabar dgn Peduli Lindungi yg dibanggakan tp blom terdaftar PSE",negatif
27,2022-09-21 08:06:58+00:00,AryPrasetyo_85,"Dewan Perwakilan Rakyat dan Pemerintah telah menyetujui Rancangan Undang Undang (RUU) Pelindungan Data Pribadi (PDP). Selanjutnya RUU PDP tersebut akan disampaikan DPR kepada Presiden untuk disahkan dan diundangkan dalam Lembaran Negara.
@kemkominfo @jokowi @PlateJohnny https://t.co/o3YgHK4DcR",netral
28,2022-09-21 08:06:54+00:00,tb_aank,"Jadi Tonggak Sejarah, Menteri @PlateJohnny Dorong Partisipasi Publik Terapkan UU PDP

Pemerintah bersama DPR RI telah menyetujui Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP) menjadi legislasi primer untuk menjadi payung utama Pelindungan Data Pribadi di Indonesia. https://t.co/LAMK84ZHu0",netral
29,2022-09-21 08:05:20+00:00,Aryprasetyo85,"Menteri @PlateJohnny menegaskan keberadaan UU PDP akan menjamin hak warga negara sesuai amanat Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
@kemkominfo @PlateJohnny @jokowi https://t.co/VFtGQh6YOr",netral
30,2022-09-21 07:37:24+00:00,ngalap1berkah,"Pemerintah, kata Menkominfo Johnny G Plate, dalam hal ini Kemenkominfo akan melaksanakan pengawasannya terhadap penyelenggaraan tata kelola data pribadi di segenap Penyelenggara Sistem Elektronik (PSE).
@PlateJohnny @kemkominfo https://t.co/EC8DHmu0mJ",netral
31,2022-09-21 07:33:50+00:00,MelaPutih,"@hyang_wisnu @PlateJohnny @Aryprasetyo85 @kemkominfo @miicies @Marbot_Udien @zhymme @DS_yantie @delArdian_ @farrel27 PSE tidak boleh Lengah, terus tingkatkan keamanan untuk mencegah terjadinya pencurian data. @PlateJohnny  @kemkominfo",positif
32,2022-09-21 06:24:29+00:00,Marbot_Udien,"@hyang_wisnu @PlateJohnny @kemkominfo @jokowi @miicies @Aryprasetyo85 @03__nakula @DS_yantie @delArdian_ @farrel27 @D_N4bil5 UU PDP ini, kata Menkominfo Johnny G Plate, mengatur hak-hak pemilik data pribadi dan mengatur sanksi bagi PSE atas tata kelola data pribadi yang diproses dalam sistem mereka masing-masing.
@PlateJohnny @kemkominfo",netral
33,2022-09-21 05:36:38+00:00,ngalap1berkah,"@hyang_wisnu @PlateJohnny @kemkominfo @jokowi @miicies @Aryprasetyo85 @03__nakula @DS_yantie @delArdian_ @farrel27 @D_N4bil5 Menteri Johnny menegaskan keberadaan UU PDP akan menjamin hak warga negara sesuai amanat Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
@PlateJohnny @kemkominfo",positif
34,2022-09-21 04:51:14+00:00,abbas_respect,"Undang Undang Perlindungan Data Pribadi Disahkan Hari Ini

@kemkominfo
@PlateJohnny https://t.co/Cz4v0hJDLd",netral
35,2022-09-21 04:42:43+00:00,rayyandaim01,"Undang Undang Perlindungan Data Pribadi Disahkan Hari Ini
@kemkominfo @PlateJohnny https://t.co/rCCmjLtd13",netral
36,2022-09-21 04:22:55+00:00,Cahaya_Dfa,"@hyang_wisnu @PlateJohnny @Aryprasetyo85 @kemkominfo @miicies @Marbot_Udien @zhymme @DS_yantie @delArdian_ @farrel27 PSE harus memastikan keamanan data masyarakat benar-benar terjaga.
@PlateJohnny  @kemkominfo",positif
37,2022-09-21 04:03:03+00:00,CryptoKuta,"Menteri Komunikasi dan Informasi Johnny G.Plate :

""Disahkannya UU PDP/Undang Undang Pelindungan Data Pribadi menjadi Tonggak Sejarah Baru sektor Digital Indonesia""

@PlateJohnny @jokowi @kemkominfo @mohmahfudmd https://t.co/vobJtJJ7Y2",netral
38,2022-09-21 03:52:02+00:00,CryptoKuta,"Menkominfo Johnny G Plate Berjuang tanpa Mengenal kata Menyerah untuk Menggolkan RUU PDP menjadi Undang Undang PDP dan setelah SAH menjadi Undang Undang Kemkominfo bernafas lega dan menjadi KADO terindah KOMINFO.

@PlateJohnny @jokowi @kemkominfo 

https://t.co/QIyPWONkEd",positif
39,2022-09-21 03:32:40+00:00,Marbot_Udien,"@hyang_wisnu @PlateJohnny @Aryprasetyo85 @miicies @zhymme @03__nakula @DS_yantie @farrel27 @delArdian_ Sejarah kemajuan perlindungan data pribadi Indonesia ditorehkan pada 20 September 2022 dengan disahkannya Undang-Undang Perlindungan Data Pribadi (UU PDP) dalam rapat paripurna DPR RI.
@PlateJohnny @kemkominfo",positif
40,2022-09-21 03:30:56+00:00,kemkominfo,Kemarin (20/9) Menkominfo Johnny G. Plate @PlateJohnny menghadiri Rapat Paripurna DPR RI berkaitan dengan pengesahan RUU Pelindungan Data Pribadi (PDP) menjadi undang-undang. https://t.co/DZPmAGpCSP,netral
41,2022-09-21 03:00:50+00:00,Marbot_Udien,"@hyang_wisnu @PlateJohnny Akhirnya, Selasa, 20 September 2022 RUU PDP disahkan menjadi undang-undang (UU). Rapat pengesahan ini dihadiri oleh 295 anggota dewan, 73 anggota hadir secara fisik, 206 anggota hadir secara virtual. Sedangkan, 16 anggota tak hadir.
@PlateJohnny @kemkominfo",netral
42,2022-09-21 02:54:46+00:00,ZilaAr_,"Akhirnya, pada 20 September 2022 RUU PDP disahkan menjadi undang-undang (UU). Rapat pengesahan ini dihadiri oleh 295 anggota dewan, 73 anggota hadir secara fisik, 206 anggota hadir secara virtual. Sedangkan, 16 anggota tak hadir.
@kemkominfo
@PlateJohnny
https://t.co/Y5PRn1YjCP",netral
43,2022-09-21 02:50:38+00:00,ZilaAr_,"Hari ini Selasa, 20 September 2022 dengan berbagai dinamikanya, akhirnya perjuangan telah membuahkan hasil dengan disahkannya Undang-Undang Data Pribadi (UU PDP), yang terdiri dari 16 bab dan 76 pasal oleh DPR RI siang tadi.
@kemkominfo
@PlateJohnny
https://t.co/9mRn3ONylt",netral
44,2022-09-21 02:44:49+00:00,Marbot_Udien,"Pemerintah, ujar Menkominfo Johnny G Plate, dalam hal ini Kementerian Kominfo akan melaksanakan pengawasannya terhadap penyelenggaraan tata kelola data pribadi di segenap Penyelenggara Sistem Elektronik (PSE).
@PlateJohnny @kemkominfo https://t.co/qY2XWpXSvn",netral
45,2022-09-21 02:36:07+00:00,SydneyX5w,"https://t.co/CgS8JYw21w

Selasa 20 September 2022, Undang Undang Perlindungan Data Pribadi akan disahkan dalam rapat paripurna DPR RI.

@PlateJohnny 
@kemkominfo",netral
46,2022-09-21 02:25:49+00:00,Gajah_Mada01,"Pemerintah dan DPR RI telah mengesahkan legislasi primer yang menjadi payung hukum pertama perlindungan data pribadi di Indonesia, yakni Undang-undang Perlindungan Data Pribadi alias UU PDP.
@PlateJohnny 
@kemkominfo https://t.co/hGbHlqOoXv",netral
47,2022-09-21 02:18:05+00:00,Gajah_Mada01,"Akhirnya, pada 20 September 2022 RUU PDP disahkan menjadi undang-undang. Rapat pengesahan ini dihadiri oleh 295 anggota dewan, 73 anggota hadir secara fisik, 206 anggota hadir secara virtual. Sedangkan, 16 anggota tak hadir.
@PlateJohnny 
@kemkominfo 
https://t.co/Q0Dh06Rruf",netral
48,2022-09-21 02:03:48+00:00,Gajah_Mada01,"Undang Undang Perlindungan Data Pribadi telah disahkan dalam rapat paripurna DPR RI.Pembahasan RUU PDP yang merupakan usulan pemerintah melalui Kominfo, telah selesai dilakukan oleh DPR RI.
@PlateJohnny 
@kemkominfo 
https://t.co/Lzpu9yOYKz",netral
49,2022-09-21 02:02:55+00:00,babegalak1,"Kemarin, Selasa 20 September 2022, Undang Undang Perlindungan Data Pribadi disahkan dalam rapat paripurna DPR RI.Pembahasan RUU PDP yang merupakan usulan pemerintah melalui Kominfo, telah selesai dilakukan oleh DPR RI.
@PlateJohnny 
@kemkominfo 
https://t.co/yYApwA9XqF",netral
50,2022-09-21 01:42:56+00:00,boyke_bond_Jr,"@DPR_RI Rakyat berharap apabila kebocoran data pribadi terjadi di PSE Publik,pemerintah legowo bertanggungjwb &amp; bersedia ganti kerugian kpd masyarakat,dan Menteri yg bertanggungjawab bersedia mundur jika lalai ngawasin.Jgn bnyk bacot.jgn cuma PSE Privat yg diketok.
@jokowi @PlateJohnny",negatif
51,2022-09-21 01:16:20+00:00,Dewi__Ku,"Menkominfo @PlateJohnny: Indonesia Jadi Negara Kelima di ASEAN Miliki Aturan Data Pribadi

Menkominfo Johnny menegaskan, keberadaan UU PDP akan menjamin hak warga negara sesuai amanat Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
@kemkominfo
https://t.co/hLeJB3GUIg",netral
52,2022-09-21 00:51:32+00:00,Spy_Zone85,"Panitia kerja RUU PDP Komisi 1 DPR RI, rancangan UU PDP telah disetujui untuk disahkan pada sidang paripurna.
Panjangnya pembahasan yang dilalui menurutnya demi menghasilkan undang-undang yang substantif dan komperhensif. 
@kemkominfo @PlateJohnny @jokowi @DPR_RI https://t.co/tn5c7eiGad",netral
53,2022-09-21 00:49:58+00:00,AryPrasetyo_85,"Hal itu karena pemerintah dan DPR RI telah mengesahkan legislasi primer yang menjadi payung hukum pertama perlindungan data pribadi di Indonesia, yakni Undang-undang Perlindungan Data Pribadi alias UU PDP. 
@kemkominfo @PlateJohnny @jokowi @DPR_RI https://t.co/zHfwPwZBNA",netral
54,2022-09-21 00:41:54+00:00,ArnosMusik,"Apa kabar multipel ASO JAKARTA?
@kemkominfo 
@PlateJohnny 
Mampukah Indonesia memberlakukan ASO sesuai undang-undang cipta kerja, paling lambat 2 November 2022 sementara Tahapan ASO yang dibuat GAGAL TOTAL...",negatif
55,2022-09-21 00:40:23+00:00,Spy_Zone85,"Lamanya waktu yang dibutuhkan dalam tahap harmonisasi ini sangat wajar karena sebagai rancangan undang-undang, RUU PDP dibuat sesempurna mungkin agar UU PDP tak tumpang tindih dengan aturan lain. 
@kemkominfo @PlateJohnny @jokowi @DPR_RI

https://t.co/FxJZ6zYG38",positif
56,2022-09-21 00:32:54+00:00,Aryprasetyo85,"Perjalanan panjang @kemkominfo sejak RUU PDP diinisiasi pada 2016.  Selasa,20 September 2022 dengan berbagai dinamikanya, akhirnya perjuangan telah membuahkan hasil dengan disahkannya Undang-Undang Data Pribadi (UU PDP)
@PlateJohnny @jokowi @DPR_RI
https://t.co/KknNeE9MJK",positif
57,2022-09-21 00:26:15+00:00,hyang_wisnu,"Undang Undang Perlindungan Data Pribadi Disahkan Hari Ini

UU PDP ini tentunya akan menjadi payung hukum bagi semua pihak berkenaan dengan pengamanan data masyarakat yang dikumpulkan oleh institusi baik pemerintah maupun swasta.
@kemkominfo @PlateJohnny https://t.co/RsPfkl6SbW",positif
58,2022-09-20 17:34:01+00:00,Flam3OfV,"Yuk di simak yuk kawan penjelasan MenKominfo @PlateJohnny 8 manfaat dari adanya Undang-undang Perlindungan Data Pribadi yang baru disahkan oleh DPR.
@kemkominfo https://t.co/SvddAysjVB",positif
59,2022-09-20 17:31:38+00:00,Flam3OfV,"Menurut Menkominfo @PlateJohnny PSE swasta juga wajib menjaga dan melindungi data pribadi masyarakat sesuai dengan UU ITE serta PP Nomor 71 Tahun 2019 tentang Penyelenggaraan Sistem dan Transaksi Elektronik.
@PlateJohnny
 @kemkominfo https://t.co/KmNGGu3XLr",netral
60,2022-09-20 16:58:49+00:00,SenjaArjunaku,"DPR RI telah mengesahkan Rancangan Undang-Undang PDP menjadi undang-undang. Indonesia, kata Menkominfo @PlateJohnny memiliki payung hukum pelindungan data pribadi.
@PlateJohnny @kemkominfo https://t.co/nhcDjvNMog",netral
61,2022-09-20 16:46:18+00:00,SydneyX5w,"https://t.co/M1DFZYJzml

Menkominfo Johnny Plate: Indonesia Jadi Negara Kelima di ASEAN Miliki Aturan Data Pribadi

@PlateJohnny: Keberadaan UU PDP akan menjamin hak warga negara sesuai amanat Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
@kemkominfo",netral
62,2022-09-20 15:06:47+00:00,GarudaWisnu11,"Menkominfo Johnny menegaskan, keberadaan UU PDP akan menjamin hak warga negara sesuai amanat Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
@PlateJohnny 
@kemkominfo 
https://t.co/4GJFqGsOdA",netral
63,2022-09-20 14:53:46+00:00,FarrahSama,"@hyang_wisnu @ZilaAr_ @kemkominfo @PlateJohnny @jokowi @Aryprasetyo85 @03__nakula @Marbot_Udien @miicies @zhymme @DS_yantie @delArdian_ @farrel27 Aneh bin musnah bin ghaib , data para penduduk negeri ini sdh beterbangan didunia angin , baru bikin undang undang perlindungan , sepuluh tahun yg lalu kemana ,,, ?",negatif
64,2022-09-20 14:13:30+00:00,Betzebella05,"Undang Undang Perlindungan Data Pribadi Disahkan Hari Ini
UU PDP yang dikawal terus oleh Johnny Plate dan Tim Kominfo akhirnya disahkan oleh DPR RI hari ini.

Undang Undang Perlindungan Data Pribadi Disahkan Hari Ini
https://t.co/5YiJ8w3B31
  @kemkominfo @PlateJohnny",netral
65,2022-09-20 12:51:30+00:00,miicies,"@DPR_RI resmi mengesahkan Rancangan Undang-Undang atau RUU Perlindungan Data Pribadi dalam Rapat Paripurna yang digelar hari ini, Selasa, 20 September 2022. Rapat Paripurna DPR ke-5 ini dipimpin oleh Wakil Ketua DPR RI, Lodewijk F. Paulus.
@PlateJohnny @kemkominfo https://t.co/A9DaEgyi9m",netral
66,2022-09-20 12:48:30+00:00,Ddwie5,"Menkominfo: Kehadiran UU PDP Picu Kebiasaan Baru di Masyarakat Agar Lebih Sadar Jaga Data Pribadi

@DPR_RI mengesahkan RUU PDP menjadi undang-undang. Pengesahan itu dilakukan dalam rapat paripurna hari ini.
@PlateJohnny @kemkominfo https://t.co/36wbE44jh9",netral
67,2022-09-20 12:42:22+00:00,Ddwie5,"Dewan Perwakilan Rakyat @DPR_RI mengesahkan Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP) dalam Rapat Paripurna kelima Masa Persidangan I tahun sidang 2022-2023, Selasa (20/9/2022).
@PlateJohnny @kemkominfo https://t.co/eGmPMwbl2z",netral
68,2022-09-20 12:40:58+00:00,Dewi__Ku,"Tok, DPR Sahkan RUU PDP Jadi Undang-Undang

@PlateJohnny mengucapkan terima kasih kepada DPR, khususnya Komisi I yang telah membahas RUU PDP hingga menjadi UU.
@kemkominfo https://t.co/GI5waiu1gQ",netral
69,2022-09-20 12:39:04+00:00,DS_yantie,"Tok, DPR Sahkan RUU PDP Jadi Undang-Undang

RUU tentang PDP benar-benar jadi landasan hukum yang kuat dan memastikan bahwa negara menjamin dan memastikan perlindungan data pribadi warganya,
@PlateJohnny @kemkominfo https://t.co/s9YAszlO1k",netral
70,2022-09-20 12:25:58+00:00,Dewi__Ku,"Hasil rapat Badan Musyawarah (Bamus) dan rapat pimpinan (Rapim) DPR memutuskan membawa RUU PDP ke Rapat Paripurna hari ini untuk disahkan sebagai undang-undang.
@PlateJohnny @kemkominfo https://t.co/aUqeoFscua",netral
71,2022-09-20 12:25:48+00:00,Elbarak_,"DPR RI telah mengesahkan Rancangan Undang-Undang Pelindung Data Pribadi (PDP) menjadi undang-undang. Menkominfo Johnny G. Plate menyatakan, Indonesia memiliki payung hukum pelindungan data pribadi secara menteri.
@kemkominfo
@PlateJohnny
https://t.co/IcOjjsSgjc",netral
72,2022-09-20 12:23:45+00:00,DS_yantie,"Ketua DPR RI Puan Maharani memastikan Rancangan Undang-undang Perlindungan Data Pribadi (RUU PDP) akan resmi disahkan dalam Rapat Paripurna DPR RI, Selasa, 20 September 2022.
@PlateJohnny @kemkominfo https://t.co/m7SARLGGlS",netral
73,2022-09-20 12:03:03+00:00,CryptoKuta,"Bociiiillll AHY Harus Tahuuu.........!

Undang Undang Perlindungan Data Pribadi  Diundangkan Zaman Presiden @jokowi dan Menkominfo @PlateJohnny ,Menkominfo sukses Mengawal RUU PDP menjadi Undang Undang.

@PlateJohnny @jokowi  @kemkominfo @mohmahfudmd 

https://t.co/5AV0XX3rVQ",positif
74,2022-09-20 11:50:41+00:00,SydneyX5w,"Ketua DPR RI @puanmaharani_ri:  Rancangan Undang-undang Perlindungan Data Pribadi (RUU PDP) akan resmi disahkan dalam Rapat Paripurna DPR RI, Selasa, 20 September 2022

@PlateJohnny 
@kemkominfo 
@DPR_RI https://t.co/CnRBisD6Dp",netral
75,2022-09-20 11:47:49+00:00,SydneyX5w,"Kehadiran UU PDP Picu Kebiasaan Baru di Masyarakat Agar Lebih Sadar Jaga Data Pribadi

@PlateJohnny:  Pengaturan dalam Undang-Undang PDP akan menjadikan perlindungan data pribadi yang kuat.
@kemkominfo https://t.co/LPoHF0M01N",positif
76,2022-09-20 11:45:27+00:00,SydneyX5w,"DPR RI Sahkan RUU PDP Menjadi Undang-Undang

UU ini diharapkan mampu menjadi awal yang baik dalam menyelesaikan permasalahan kebocoran data pribadi di Indonesia.
@PlateJohnny 
@kemkominfo 
@DPR_RI https://t.co/6RP5MbBouL",positif
77,2022-09-20 11:37:28+00:00,ngalap1berkah,"@hyang_wisnu @PlateJohnny @kemkominfo @Aryprasetyo85 @miicies @zhymme @Marbot_Udien @DS_yantie @03__nakula @delArdian_ Menkominfo Johnny G Plate berujar bahwa pengaturan dalam Undang-Undang PDP akan menjadikan perlindungan data pribadi yang kuat.
@PlateJohnny @kemkominfo",positif
78,2022-09-20 11:25:16+00:00,ngalap1berkah,"@hyang_wisnu @PlateJohnny @kemkominfo @jokowi Menurut Menkominfo Johnny G. Plate, PSE swasta juga wajib menjaga dan melindungi data pribadi masyarakat sesuai dengan UU ITE serta PP Nomor 71 Tahun 2019 tentang Penyelenggaraan Sistem dan Transaksi Elektronik.
@PlateJohnny @kemkominfo",netral
79,2022-09-20 11:15:33+00:00,Cah_Beler,"@hyang_wisnu @PlateJohnny @kemkominfo @Aryprasetyo85 @miicies @zhymme @Marbot_Udien @DS_yantie @03__nakula @delArdian_ Sob, Menkominfo Johnny G Plate mengatakan kehadiran Undang-Undang tentang Perlindungan Data Pribadi (PDP) yang baru saja disahkan DPR akan memicu kebiasaan baru di masyarakat.
@PlateJohnny @kemkominfo",positif
80,2022-09-20 11:12:56+00:00,Cah_Beler,"@hyang_wisnu @PlateJohnny @Aryprasetyo85 @kemkominfo @miicies @Marbot_Udien @zhymme @03__nakula @DS_yantie @delArdian_ Alhamdulillah 🤲🤲🤲

Rancangan Undang-Undang (RUU) Pelindungan Data Pribadi (PDP) telah resmi disahkan menjadi Undang-Undang (UU) dalam Rapat Paripurna DPR RI Masa Persidangan I Tahun Sidang 2022-2023.
@PlateJohnny @kemkominfo",positif
81,2022-09-20 11:00:15+00:00,dowerrio,"DPR Sahkan RUU PDP Jadi Undang-Undang Hari Ini. 

@DS_yantie @PlateJohnny @kemkominfo
https://t.co/JEweuGDanN https://t.co/yfUruVgFYN",netral
82,2022-09-20 10:56:31+00:00,Cah_Beler,"@hyang_wisnu @kemkominfo Keberadaan UU PDP, tegas Menkominfo Johnny G Plate akan menjamin hak warga negara sesuai amanat Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
@PlateJohnny @kemkominfo",positif
83,2022-09-20 10:32:06+00:00,Rayleo130399,"@hyang_wisnu @PlateJohnny @kemkominfo @jokowi PSE swasta juga wajib menjaga dan melindungi data pribadi masyarakat sesuai dengan Undang-Undang Informasi dan Transaksi Elektronik (UU ITE) serta Peraturan Pemerintah (PP) Nomor 71 Tahun 2019 tentang Penyelenggaraan Sistem dan Transaksi Elektronik.
@kemkominfo @PlateJohnny",positif
