,Tweet,Sentimen
79,alhamdulillah rancang undang undang ruu lindung data pribadi pdp resmi sah undang undang uu rapat paripurna dpr ri sidang i sidang,positif
80,dpr sahkan ruu pdp undang undang,netral
81,ada uu pdp menkominfo johnny g plate jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia,positif
82,pse swasta wajib jaga lindung data pribadi masyarakat sesuai undang undang informasi transaksi elektronik uu ite atur perintah pulang pergi nomor selenggara sistem transaksi elektronik,positif
83,dpr sahkan ruu pdp undang undang,netral
84,dpr ri kesah rancang undang undang lindung data pribadi pdp undang undang indonesia menkominfo johnny g plate milik payung hukum lindung data pribadi,netral
85,ada uu pdp menkominfo johnny g plate jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia,positif
86,undang undang tunggu,positif
87,menkominfo ada uu pdp jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia,positif
88,undang undang tunggu tunggu,positif
89,hadir uu pdp picu biasa masyarakat sadar jaga data pribadi menkominfo hadir undang undang lindung data pribadi pdp sah dpr picu biasa masyarakat,positif
90,atur undang undang pdp jadi lindung data pribadi kuat,positif
91,alhamdulillah ruu lindung data pribadi pdp resmi sah undang undang rapat paripurna dpr ri sidang i sidang,positif
92,ruu pdp sah uu sah ruu pdp undang undang tanda era tata kelola data pribadi ruang digital,positif
93,johnny atur undang undang pdp jadi lindung data pribadi kuat,positif
94,menkominfo johnny g plate hadir undang undang lindung data pribadi pdp sah dpr picu biasa masyarakat,positif
95,dpr sahkan ruu pdp undang undang,netral
96,tok tok tok sahkan ruu pdp undang undang wakil presiden republik indonesia terima kasih besar putus kesah uu pdp,positif
97,rancang undang undang ruu lindung data pribadi pdp resmi sah undang undang uu rapat paripurna dpr ri sidang i sidang,netral
98,atur undang undang pdp jadi lindung data pribadi kuat bias new habit masyarakat iring kembang maju teknologi pesat,positif
99,menteri komunikasi informatika menkominfo johnny g plate hadir undang undang lindung data pribadi pdp sah dpr picu biasa masyarakat,positif
100,hasil rapat badan musyawarah bamus rapat pimpin rapim dpr puan maharani putus bawa ruu pdp rapat paripurna besok sah undang undang,netral
101,ketua dpr puan maharani hasil rapat badan musyawarah bamus rapat pimpin rapim dpr putus bawa ruu pdp rapat paripurna sah undang undang,netral
102,menkominfo johnny g plate pse swasta wajib jaga lindung data pribadi masyarakat sesuai uu ite atur perintah nomor selenggara sistem transaksi elektronik,netral
103,dewan wakil rakyat dpr kesah rancang undang undang lindung data pribadi ruu pdp rapat paripurna sidang i sidang selasa,netral
104,dewan wakil rakyat dpr kesah rancang undang undang lindung data pribadi ruu pdp rapat paripurna sidang i sidang selasa,netral
105,dpr resmi kesah rancang undang undang lindung data pribadi undang undang ruu pdp sah rapat paripurna dpr sidang i sidang selasa,netral
106,hasil rapat badan musyawarah bamus rapat pimpin rapim dpr putus bawa ruu pdp rapat paripurna besok sah undang undang,netral
107,gak undang eketabilitasnyatertinghi undang mbak capai,positif
108,pse lengah perhati komunikasi perintah,positif
109,pse tingkat kapasitas talenta digital aman data data masyarakat aman,positif
110,perintah dpr laku kesah rancang undang undang lindung data pribadi ruu pdp,netral
111,koqr teriak bagi kaos undang pdip,negatif
112,panas stres junjung ga undang semarang,negatif
113,menkominfo payung hukum satgas lawan bjorka bentuk samping bentuk satgas lindung data perintah dpr laku kesah rancang undang undang lindung data pribadi ruu pdp,netral
114,samping bentuk satgas lindung data perintah dpr sambut kesah rancang undang undang lindung data pribadi ruu pdp,netral
115,samping bentuk satgas lindung data perintah dpr kesah rancang undang undang lindung data pribadi ruu pdp,netral
116,buka informasi amanat undang undang,netral
117,komunikasi selenggara sistem elektronik privat perintah masuk pse privat laksana wajib jaga data pribadi masyarakat,positif
118,serang siber serang sistem elektronik milik perintah pse swasta ekstra waspada,netral
119,pse privat ketat aman siber sistem jaga data masyarakat gabung sistem elektronik,netral
120,serang siber pse mana waspada,negatif
121,pse privat tingkat sistem aman,negatif
122,anggap keheboan hacker abal abal bjorka ingat pse solid bekerjasama jaga data bocor,positif
123,pse swasta jaga aman data guna,positif
124,bocor data perintah salah lantar undang undang atur data pribadi sah,positif
125,pse swasta jaga aman data guna,netral
126,ingat pse swasta kuat sistem aman,netral
127,ayo pse privat tingkat aman siber colong,positif
128,pse ketat aman siber data masyarakat simpan dalam aman,positif
129,jaga aman data tanggung pse,positif
130,jadi duga bocor data ingat pse ketat aman sibernya,positif
131,jaga aman data masyarakat moga pse ketat jaga aman data masyarakat,positif
132,pse jaga data,positif
133,pse swasta jaga aman data guna,positif
134,tingkat pse lingkup privat aman data guna jaga sistem manajemen tingkat,positif
135,pse privat swasta jaga aman data pribadi guna koordinasi dg perintah,netral
136,ajak pse lingkup privat jaga aman data bocor data,netral
137,pse lengah,positif
138,bssn pse kait upaya upaya mitigasi cepat kuat sistem aman siber cegah risiko pse,netral
139,aman data perhati pse privat,netral
140,menkominfo selenggara sistem elektronik privat lengah curi data imbau pse tekonologi sistem manajemen tingkat,netral
141,menugasin orang hormat kirain hebat bijak undang lakon ngelawak undang orang bijak kenal jerumus wkwkwk,negatif
142,jaga data pribadi resiko retas tingkat perintah koordinasi pse,positif
143,data milik guna jaga pse privat,negatif
144,maling data intai pse pse lengah,positif
145,tri baik animal planet sejarah indonesia kominfo colong data usil ngurusin pse sih lu,negatif
146,setujuuuuuuu biar kapok dn gak langgar undang undang lindung data pribadi,positif
147,moga jadi pse tingkat aman ruang sibernya bocor data,positif
148,kriminal seh cuman iya peringantan pse jadi,positif
149,data pribadi aman selenggara sistem elektronik pse tingkat sumber daya teknologi lindung data masyarakat,positif
150,menkominfo johnny g plate pse teknologi update tingkat pse tata kelola manajemen antisipasi serang siber sdm teknologi digital kuat pada,netral
151,tuju pse lengah,positif
152,potensi serang siber sasar sistem elektronik perintah sistem elektronik pse lingkup privat menkominfo pse lingkup privat jaga aman data konsumen,netral
153,selenggara sistem elektronik pse lingkup privat jaga aman data konsumen potensi serang siber sasar sistem elektronik pse lingkup privat,netral
154,pse peran jaga data,positif
155,tuju pse swasta perhati,positif
156,pse privat teliti dalm jaga data,netral
157,keman data guna tanggung pse,positif
158,ngakak ulah hacker menkominfo desak mundur bawa indonesia era digital terap pse selenggara elektronik ranah digital indonesia,positif
159,menkominfo pse swasta jaga aman data guna dorong pse swasta kuat sumber daya manusia sdm terampil sektor teknologi digitalisasi enkripsi kuat bobol,positif
160,menkominfo pse swasta jaga aman data guna serang siber serang sistem elektronik milik perintah pse swasta ekstra waspada,netral
161,menkominfo selenggara sistem elektronik pse privat swasta jaga aman data guna pse koordinasi perintah kuat lindung data,netral
162,menkominfo selenggara sistem elektronik pse privat ketat aman siber sistem jaga data masyarakat gabung sistem elektronik,positif
163,menkominfo bawa indonesia era digital kominfo terap pse selenggara elektronik ranah digital indonesia,positif
164,pesan menkominfo pse lingkup private pasti tata kelola sistem manajemen baik libat tenaga ahli sdm tekhnologi digital eskripsi kuat,netral
165,menkominfo selenggara sistem elektronik pse lengah retas data pribadi aman data pribadi guna streaming jam kanal youtube metrotvnews,netral
166,serang siber landa sistem elektronik privat menteri johnny plate saran pse swasta kuat lindung data maka kemkominfo,netral
167,menkominfo pse privat aman data sistem wajib,positif
168,menkominfo pse swasta jaga aman data guna,netral
169,menkominfo pse privat swasta jaga aman data guna pse privat koordinasi perintah kuat lindung data,positif
170,menkominfo pse privat swasta jaga aman data guna,positif
171,menkominfo pse privat ketat aman siber amp jaga data masyarakat gabung sistem elektronik,positif
172,pse lingkup privat incar serang siber menkominfo ingat lengah menkominfo pse lingkup privat lengah hati hati serang siber,negatif
173,menkominfo pse swasta jaga aman data guna menkominfo pse privat swasta jaga aman data guna pse koordinasi perintah kuat lindung data,positif
174,selenggara sistem elektronik pse privat swasta jaga aman data guna pse koordinasi perintah kuat lindung data,positif
175,serang siber serang sistem elektronik milik perintah menkominfo johnny g plate pse swasta ekstra waspada,positif
176,johnny serang siber serang sistem elektronik milik perintah pse swasta ekstra waspada,positif
177,pse privat aman data sistem wajib johnny gedung kemenko polhukam,positif
178,menkominfo johnny gerard plate selenggara sistem elektronik privat swasta jaga aman data guna pse koordinasi perintah kuat lindung data,netral
179,dg jadi harap maksimal jaga data pse,negatif
180,kominfo pse swasta jaga aman data guna terima kasih kominfo,netral
181,menkominfo johnny g plate pse pasti teknologi nya ter update tata kelola manajemen dperbaiki libat tenaga ahli,netral
182,menkominfo johnny g plate selenggara sistem elektronik pse privat swasta jaga aman data guna pse koordinasi perintah kuat lindung data,netral
183,pasti teknologi pse swasta update tingkat tata kelola manajemen baik libat tenaga ahli,netral
184,alas bulan undang undang undang lindung data pribadi pdp sah dpr tingkat tingkat paripurna bahas substansi,netral
185,samping perintah pse swasta jaga aman data costumer nya,positif
186,menkominfo dorong pse swasta kuat sumber daya manusia sdm terampil sektor teknologi digitalisasi enkripsi kuat bobol,netral
187,pasti teknologi pse swasta update tingkat tata kelola manajemen baik libat tenaga ahli,netral
188,menkominfo serang siber serang sistem elektronik milik perintah pse swasta ekstra waspada,netral
189,pse emg ketat aman siber,positif
190,menkominfo selenggara sistem elektronik pse privat ketat aman siber sistem hacker serang system pse ranah privat,netral
191,menkominfo selenggara sistem elektronik pse privat ketat aman siber sistem jaga data masyarakat gabung sistem elektronik,netral
192,perintah pse waspada,positif
193,menteri komunikasi informatika johnny g plate selenggara sistem elektronik pse privat ketat aman siber sistem jaga data masyarakat gabung sistem elektronik,netral
194,selenggara sistem elektronik pse privat menkominfo ketat aman siber sistem jaga data masyarakat gabung sistem elektronik,positif
195,erti undang undang langgar undang undang salah,positif
196,poin masyarakat ajak bangun dlm hadap bahaya ruang digital ae kelen masyarakat an juta korban data pribadi pse publik mlh bocor bolak menteri aman bae ga mundur ga malu awas pdp dibwh presiden,negatif
197,moga tuju undang undang lindung data pribadi,positif
198,moga tuju undang undang,positif
199,undang undang pdp tingkat sadar masyarakat lindung data pribadi,positif
200,bssn telusur kait duga bocor data selenggara sistem elektronik pse menteri lembaga,netral
201,bssn pse kait upaya upaya mitigasi cepat kuat sistem aman siber cegah risiko pse,netral
202,bssn pse kait amp sdg upaya mitigasi,positif
203,rencana september rancang undang undang lindung data pribadi pakat dpr ri perintah,netral
204,rencana september rancang undang undang lindung data pribadi pakat dpr ri perintah,netral
205,abai ketidakpedulian pse kelola situs kelola sistem aman muncul bjorka aktivitas retas anggap blessing in disguise,negatif
206,harap ruu pdp sah undang undang pdp butuh ruang digital nasional jaga aman,positif
207,menkominfo kesah ruu pdp tunggu jadwal rapat paripurna mudah mudah sah ruu pdp undang undang pdp payung hukum jaga ruang digital,positif
208,rancang undang undang lindung data pribadi pdp pasuk tingkat bahas sah rapat paripurna dewan wakil rakyat republik indonesia dpr ri,netral
209,hukum undang undang lindung data pribadi,positif
210,tinggal tunggu kesah ruu pdp undang undang pdp ruang digital nasional jaga aman,positif
211,dirjen ikp buka informasi amanat undang undang jamin undang uu kip ikatakannya jalan mudah,positif
212,juru bicara bssn bssn koordinasi pse duga alami insiden data bocor dg pse lingkung menteri sekretariat negara,netral
213,rancang undang undang lindung data pribadi ruu pdp payung hukum jaga ruang digital indonesia moga juang menkominfo dukung dewan,positif
214,informasi usman kansong amanat undang undang jamin undang uu kip ikatakannya jalan mudah,positif
215,siber tupoksi bssn kominfo bssn koordinasi pse polri kominfo masyarakat guna paham bijak tuanku sekjen kornas hadeeeehh,positif
216,turut buka informasi amanat undang undang jamin undang uu kip ikatakannya jalan mudah,positif
217,buka informasi amanat undang undang jamin undang uu kip ikatakannya jalan mudah,positif
218,menteri harap rancang undang undang lindung data pribadi ruu pdp payung hukum jaga ruang digital indonesia,positif
219,menteri johnny harap rancang undang undang lindung data pribadi ruu pdp payung hukum jaga ruang digital indonesia,positif
220,menteri johnny harap rancang undang undang lindung data pribadi ruu pdp payung hukum jaga ruang digital indonesia,positif
221,rancang undang undang lindung data pribadi pdp pasuk tingkat bahas sah rapat paripurna dewan wakil rakyat republik indonesia dpr ri,netral
222,rancang undang undang lindung data pribadi pdp pasuk tingkat bahas sah rapat paripurna dewan wakil rakyat republik indonesia dpr ri,netral
223,rancang undang undang lindung data pribadi pdp pasuk tingkat bahas sah rapat paripurna dewan wakil rakyat republik indonesia dpr ri,netral
224,menkominfo johnny g plate mudah mudah sah ruu pdp undang undang pdp payung hukum jaga ruang digital,positif
225,koordinasi pse,positif
226,mudah mudah sah ruu pdp undang undang pdp payung hukum jaga ruang digital,positif
227,bssn telusur kait duga bocor data selenggara sistem elektronik pse menteri lembaga,netral
228,mantap bssn koordinasi pse kait,positif
229,resign idiot rumah telpon masbup bentuk cyber army keri undang cia mossad didik intel,negatif
230,menteri situasi serang siber fungsi awas selenggara sistem elektronik pse,netral
231,rombak anggota menteri komunikasi informatika kompeten bidang isu data bocor situs judi daftar pse blokir situs situs regulasi pse dll tag,negatif
232,mudah mudah sah ruu pdp undang undang pdp menkominfo johnny g plate payung hukum jaga ruang digital,positif
233,bssn koordinasi pse duga alami insiden data bocor pse lingkung menteri sekretariat negara,netral
234,bssn koordinasi pse duga alami insiden data bocor pse lingkung menteri sekretariat negara,netral
235,bssn telusur kait duga bocor data pse menteri lembaga,netral
236,bssn koordinasi pse duga alami insiden data bocor pse lingkung menteri sekretariat negara,netral
237,perintah pusat sedia dukung regulasi primer undang undang no cipta kerja struktur industri amp pasar kuat menkominfo johnny g plate harap nilai ekonomi digital,positif
238,bssn pse kait upaya upaya mitigasi cepat kuat sistem aman siber cegah risiko pse,netral
239,bssn koordinasi pse duga alami insiden data bocor pse lingkung menteri sekretariat negara,netral
240,koordinasi pse duga alami insiden bocor data pse lingkung menteri sekretariat negara,netral
241,juru bicara bssn ariandi putra bssn koordinasi pse duga alami insiden bocor data pse lingkung menteri sekretariat negara direktorat tindak pidana siber bareskrim polri,netral
242,telusur kait duga bocor data selenggara sistem elektronik pse menteri lembaga,netral
243,kuat sistem aman siber cegah risiko bssn pse kait upaya upaya mitigasi cepat,positif
244,bssn pse kait upaya upaya mitigasi cepat kuat sistem aman siber cegah risiko pse,positif
245,bssn koordinasi pse duga alami insiden bocor data pse lingkung menteri sekretariat negara,netral
246,konsolidasi industri telekomunikasi bentuk imbang eksositem digital nasional perintah sedia dukung regulasi primer undang undang no cipta kerja,positif
247,bssn koordinasi setneg siber polri dalam duga bocor data koordinasi pse duga alami insiden bocor data pse lingkung,netral
248,menteri situasi serang siber fungsi awas selenggara sistem elektronik pse,netral
249,dikit salah menkominfo akun blokir bully menkominfo in menteri tukang blokir suruh daftar pse buzzer serentak hujat data bocor salah bocor data domain bssn kominfo,positif
250,komisi i dpr ri tuju rancang undang undang lindung data pribadi ruu pdp aju perintah bahas tingkat i,netral
251,mekenye bikin atur wajib ga jalanin pse privat uber ga daftar blokir skr data pribadi duduk negara udh jebol ngarep lembaga awas pdp dibwh perintah bolak bocor ga kapok,negatif
252,erti undang undang langgar undang undang salah,positif
253,buat menyebarluaskan data pribadi sengaja izin langgar undang undang pasal ayat undang undang ite atur larang pindah data pribadi orang hak izin mohon maaf,negatif
254,bssn telusur duga insiden bocor data validasi thdp data publikasi bssn tlh koordinasi dg pse duga alami insiden bocor data,netral
255,undang um backingin wkwkwkwkwk,netral
256,undang undang lindung data pribadi uu pdp atur wajib sanksi tindak tindak lawan hukum data pribadi,netral
257,masyarakat sadar kondisi aman data pribadi bocor perintah salah lantar undang undang atur data pribadi sah,positif
258,bicara compliance pse komentar irrelevant risiko bocor alami orang akibat perintah inkompeten becus lindung privasi warga negara aman digital perintah,negatif
259,kominfo sdh cuci tgn bocor kominfo pse operator celular tanggungjwb data guna kominfo sbg regulator g malu g pdn data guna titip tiap pse operator cuci tangan,negatif
260,daftar pse indonesia salah upaya jaga daulat digital bangsa dukung,positif
261,menteri kominfo komisi i dpr ri pakat rancang undang undang lindung data pribadi ruu pdp sah bahas lanjut sidang paripurna dpr ri,netral
262,menkominfo apresiasi libat bentuk ruu lindung data pribadi ruu pdp sah undang undang paripurna dpr,positif
263,ruu pdp sah paripurna menkominfo apresiasi rapat kerja komisi i dpr jakarta rabu undang undang pdp tingkat sadar masyarakat lindung data pribadi,positif
264,komisi i dpr selesai bahas rancang undang undang lindung data pribadi ruu pdp tunggu kominfo undang rujuk atur bawah,netral
265,kominfo harap rancang undang undang ruu lindung data pribadi pdp menteri komunikasi informatika johnny g plate ruu pdp lewat tingkat i rapat komisi i dpr ri,netral
266,menteri komunikasi informatika harap rancang undang undang ruu lindung data pribadi pdp,netral
267,komisi i dpr ri menteri komunikasi informatika tuju bawa rancang undang undang lindung data pribadi bahas tingkat rapat paripurna sah undang undang,netral
268,komisi i dpr ri sepakat rancang undang undang lindung data pribadi ruu pdp sah bahas lanjut sidang paripur,netral
269,marak bocor data menkominfo johnny plate harap ruu pdp sah menteri komunikasi informatika harap rancang undang undang ruu lindung data pribadi pdp,positif
270,hina kominfo tugas kominfo cuman buzzer perintah fix bahas bocor data gelar ekonomi manajemen mimpin tik anggar gede project pse mudah heck,negatif
271,syukur alhamdulillah ruu pdp sahkan undang undang,positif
272,pse bertanggungjawab data bocor,negatif
273,mantap ruu pdp sahkan undang undang,positif
274,menteri kominfo johnny g plate apresiasi libat bentuk ruu lindung data pribadi ruu pdp sah undang undang paripurna dpr,positif
275,menkominfo johnny g plate erti undang undang langgar undang undang salah serang siber tugas kominfo bssn,positif
276,menkominfo johnny g plate erti undang undang langgar undang undang salah tangap pesan hacker akun bjorka,positif
277,kominfo komisi i dpr ri tuju rancang undang undang lindung data pribadi ruu pdp aju perintah bahas tingkat i,netral
278,ruu pdp sah paripurna menkominfo apresiasi ruu pdp sah undang undang paripurna dpr,netral
279,menkominfo rapat kerja komisi i dpr jakarta rabu undang undang pdp tingkat sadar masyarakat lindung data pribadi,netral
280,menkominfo johnny g plate apresiasi libat bentuk ruu lindung data pribadi ruu pdp sah undang undang paripurna dpr,positif
281,komisi i dpr ri tuju rancang undang undang lindung data pribadi ruu pdp aju perintah bahas tingkat i,netral
282,ruu pdp sah paripurna menkominfo apresiasi menkominfo apresiasi libat bentuk ruu lindung data pribadi ruu pdp sah undang undang paripurna dpr,positif
283,komisi i dpr ri tuju rancang undang undang lindung data pribadi ruu pdp aju perintah bahas tingkat i,netral
284,menkominfo rapat kerja komisi i dpr jakarta rabu undang undang pdp tingkat sadar masyarakat lindung data pribadi,netral
285,menteri komunikasi informatika menkominfo johnny g plate apresiasi libat bentuk ruu lindung data pribadi ruu pdp sah undang undang paripurna dpr,positif
286,komisi i dpr tuju ruu pdp menkominfo toreh sejarah bidang digital komisi i dpr ri tuju rancang undang undang lindung data pribadi ruu pdp,positif
287,kemenkominfo komisi i dpr ri tuju keluar putus rancang undang undang lindung data pribadi ruu pdp sah bahas lanjut sidang paripurna,netral
288,duga bocor data indonesia kali gilir data registrasi kartu sim duga alami bocor kesah ruu pdp rancang undang undang lindung data pribadi kian,negatif
289,tugas kominfo audit sanksi pse temu langgar,positif
290,menkominfo harap rancang undang undang lindung data pribadi sah tambah model sanksi,netral
291,menkominfo johnny g plate tugas kominfo selenggara sistem elektronik pse gojek google amazon patuh bijak indonesia kait kelola data,netral
292,kominfo menkominfo tugas kait selenggara sistem elektronik pse patuh sanksi audit dasar atur,positif
293,bocor data kesah ruu pdp rancang undang undang lindung data pribadi kian rampung sah,positif
294,menkominfo johnny g plate harap bahas rencana undang undang lindung data pribadi target rampung cepat,netral
295,kesah ruu pdp rancang undang undang lindung data pribadi kian,netral
296,pse langkah tega daulat digital indonesia,positif
