,Tweet,Sentimen,lower case,cleaned,formalized,no stopwords,stemmed
10,"Jamin Hak Warga Negara, Menteri Johnny: Indonesia Jadi Negara Kelima di ASEAN Miliki Aturan Data Pribadi
 
 Menteri @PlateJohnny menegaskan keberadaan UU PDP akan menjamin hak warga negara sesuai amanat Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
 @kemkominfo https://t.co/rMDMqtUiSo",netral,"jamin hak warga negara, menteri johnny: indonesia jadi negara kelima di asean miliki aturan data pribadi
 
 menteri @platejohnny menegaskan keberadaan uu pdp akan menjamin hak warga negara sesuai amanat undang-undang dasar negara republik indonesia tahun 1945.
 @kemkominfo https://t.co/rmdmqtuiso","jamin hak warga negara, menteri johnny indonesia jadi negara kelima di asean miliki aturan data pribadi menteri menegaskan keberadaan uu pdp akan menjamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia tahun .","jamin hak warga negara, menteri johnny indonesia jadi negara kelima di asean miliki aturan data pribadi menteri menegaskan keberadaan uu pdp akan menjamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia tahun .","jamin hak warga negara , menteri johnny indonesia negara asean miliki aturan data pribadi menteri keberadaan uu pdp menjamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia .",jamin hak warga negara menteri johnny indonesia negara asean milik atur data pribadi menteri ada uu pdp jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia
11,"Dewan Perwakilan Rakyat dan Pemerintah telah menyetujui Rancangan Undang Undang (RUU) Pelindungan Data Pribadi (PDP). Selanjutnya RUU PDP tersebut akan disampaikan DPR kepada Presiden untuk disahkan dan diundangkan dalam Lembaran Negara.
 @PlateJohnny @kemkominfo https://t.co/7sJm5UIuxA",netral,"dewan perwakilan rakyat dan pemerintah telah menyetujui rancangan undang undang (ruu) pelindungan data pribadi (pdp). selanjutnya ruu pdp tersebut akan disampaikan dpr kepada presiden untuk disahkan dan diundangkan dalam lembaran negara.
 @platejohnny @kemkominfo https://t.co/7sjm5uiuxa",dewan perwakilan rakyat dan pemerintah telah menyetujui rancangan undang undang ruu pelindungan data pribadi pdp . selanjutnya ruu pdp tersebut akan disampaikan dpr kepada presiden untuk disahkan dan diundangkan dalam lembaran negara.,dewan perwakilan rakyat dan pemerintah telah menyetujui rancangan undang undang ruu pelindungan data pribadi pdp . selanjutnya ruu pdp tersebut akan disampaikan dpr kepada presiden untuk disahkan dan diundangkan dalam lembaran negara.,dewan perwakilan rakyat pemerintah menyetujui rancangan undang undang ruu pelindungan data pribadi pdp . ruu pdp dpr presiden disahkan diundangkan lembaran negara .,dewan wakil rakyat perintah tuju rancang undang undang ruu lindung data pribadi pdp ruu pdp dpr presiden sah undang lembar negara
12,"UU PDP Disahkan, @PlateJohnny: Tonggak Sejarah Kemajuan Perlindungan Data di Indonesia
 
 Hal itu karena @DPR_RI telah mengesahkan legislasi primer yg menjadi payung hukum pertama perlindungan data pribadi di Indonesia, yakni Undang-undang Perlindungan Data Pribadi alias UU PDP. https://t.co/FX82b9XAfe",netral,"uu pdp disahkan, @platejohnny: tonggak sejarah kemajuan perlindungan data di indonesia
 
 hal itu karena @dpr_ri telah mengesahkan legislasi primer yg menjadi payung hukum pertama perlindungan data pribadi di indonesia, yakni undang-undang perlindungan data pribadi alias uu pdp. https://t.co/fx82b9xafe","uu pdp disahkan, tonggak sejarah kemajuan perlindungan data di indonesia hal itu karena telah mengesahkan legislasi primer yg menjadi payung hukum pertama perlindungan data pribadi di indonesia, yakni undang undang perlindungan data pribadi alias uu pdp.","uu pdp disahkan, tonggak sejarah kemajuan perlindungan data di indonesia hal itu karena telah mengesahkan legislasi primer yang menjadi payung hukum pertama perlindungan data pribadi di indonesia, yakni undang undang perlindungan data pribadi alias uu pdp.","uu pdp disahkan , tonggak sejarah kemajuan perlindungan data indonesia mengesahkan legislasi primer payung hukum perlindungan data pribadi indonesia , undang undang perlindungan data pribadi alias uu pdp .",uu pdp sah tonggak sejarah maju lindung data indonesia kesah legislasi primer payung hukum lindung data pribadi indonesia undang undang lindung data pribadi alias uu pdp
13,"Senangnya akhirnya undang-undang Perlindungan Data Pribadi (PDP) disahkan oleh DPR yang akan menjadi payung hukum bagi kita masyarakat dalam melindungi data pribadi kita masing-masing.
 @kemkominfo 
 @PlateJohnny https://t.co/4oiq0dBH45",positif,"senangnya akhirnya undang-undang perlindungan data pribadi (pdp) disahkan oleh dpr yang akan menjadi payung hukum bagi kita masyarakat dalam melindungi data pribadi kita masing-masing.
 @kemkominfo 
 @platejohnny https://t.co/4oiq0dbh45",senangnya akhirnya undang undang perlindungan data pribadi pdp disahkan oleh dpr yang akan menjadi payung hukum bagi kita masyarakat dalam melindungi data pribadi kita masing masing.,senangnya akhirnya undang undang perlindungan data pribadi pdp disahkan oleh dpr yang akan menjadi payung hukum bagi kita masyarakat dalam melindungi data pribadi kita masing masing.,senangnya undang undang perlindungan data pribadi pdp disahkan dpr payung hukum masyarakat melindungi data pribadi .,senang undang undang lindung data pribadi pdp sah dpr payung hukum masyarakat lindung data pribadi
14,@hyang_wisnu @SydneyX5w @kemkominfo @PlateJohnny @jokowi @Aryprasetyo85 @03__nakula @Marbot_Udien @miicies @zhymme @DS_yantie @delArdian_ @farrel27 Nunggu Ada hacker Baru mau bikin dan keluarkan undang undangnya...?,negatif,@hyang_wisnu @sydneyx5w @kemkominfo @platejohnny @jokowi @aryprasetyo85 @03__nakula @marbot_udien @miicies @zhymme @ds_yantie @delardian_ @farrel27 nunggu ada hacker baru mau bikin dan keluarkan undang undangnya...?,nunggu ada hacker baru mau bikin dan keluarkan undang undangnya...?,nunggu ada hacker baru mau bikin dan keluarkan undang undangnya...?,nunggu hacker bikin keluarkan undang undangnya ... ?,nunggu hacker bikin keluar undang undang
15,"Akhirnya, pada 20 September 2022 RUU PDP disahkan menjadi undang-undang (UU). Rapat pengesahan ini dihadiri oleh 295 anggota dewan, 73 anggota hadir secara fisik, 206 anggota hadir secara virtual. Sedangkan, 16 anggota tak hadir.
 @PlateJohnny
 @kemkominfo
 https://t.co/lWkvZD5DYZ",netral,"akhirnya, pada 20 september 2022 ruu pdp disahkan menjadi undang-undang (uu). rapat pengesahan ini dihadiri oleh 295 anggota dewan, 73 anggota hadir secara fisik, 206 anggota hadir secara virtual. sedangkan, 16 anggota tak hadir.
 @platejohnny
 @kemkominfo
 https://t.co/lwkvzd5dyz","akhirnya, pada september ruu pdp disahkan menjadi undang undang uu . rapat pengesahan ini dihadiri oleh anggota dewan, anggota hadir secara fisik, anggota hadir secara virtual. sedangkan, anggota tak hadir.","akhirnya, pada september ruu pdp disahkan menjadi undang undang uu . rapat pengesahan ini dihadiri oleh anggota dewan, anggota hadir secara fisik, anggota hadir secara virtual. sedangkan, anggota tidak hadir.",", september ruu pdp disahkan undang undang uu . rapat pengesahan dihadiri anggota dewan , anggota hadir fisik , anggota hadir virtual . , anggota hadir .",september ruu pdp sah undang undang uu rapat kesah hadir anggota dewan anggota hadir fisik anggota hadir virtual anggota hadir
16,"Perjalanan panjang Kominfo sejak Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP) diinisiasi pada 2016, akhirnya perjuangan telah membuahkan hasil
 @PlateJohnny
 @kemkominfo
 https://t.co/fM0Ucekgzq",positif,"perjalanan panjang kominfo sejak rancangan undang-undang perlindungan data pribadi (ruu pdp) diinisiasi pada 2016, akhirnya perjuangan telah membuahkan hasil
 @platejohnny
 @kemkominfo
 https://t.co/fm0ucekgzq","perjalanan panjang kominfo sejak rancangan undang undang perlindungan data pribadi ruu pdp diinisiasi pada , akhirnya perjuangan telah membuahkan hasil","perjalanan panjang kominfo sejak rancangan undang undang perlindungan data pribadi ruu pdp diinisiasi pada , akhirnya perjuangan telah membuahkan hasil","perjalanan kominfo rancangan undang undang perlindungan data pribadi ruu pdp diinisiasi , perjuangan membuahkan hasil",jalan kominfo rancang undang undang lindung data pribadi ruu pdp inisiasi juang buah hasil
17,"Dewan Perwakilan Rakyat Republik Indonesia (DPR RI) telah mengesahkan Rancangan Undang-Undang Pelindung Data Pribadi (PDP) menjadi UU
 
 @PlateJohnny
 @kemkominfo
 https://t.co/pyj9Xl8Kwr",netral,"dewan perwakilan rakyat republik indonesia (dpr ri) telah mengesahkan rancangan undang-undang pelindung data pribadi (pdp) menjadi uu
 
 @platejohnny
 @kemkominfo
 https://t.co/pyj9xl8kwr",dewan perwakilan rakyat republik indonesia dpr ri telah mengesahkan rancangan undang undang pelindung data pribadi pdp menjadi uu,dewan perwakilan rakyat republik indonesia dpr ri telah mengesahkan rancangan undang undang pelindung data pribadi pdp menjadi uu,dewan perwakilan rakyat republik indonesia dpr ri mengesahkan rancangan undang undang pelindung data pribadi pdp uu,dewan wakil rakyat republik indonesia dpr ri kesah rancang undang undang lindung data pribadi pdp uu
18,"UU PDP Disahkan! Hadiah Ulang Tahun @kemkominfo untuk Indonesia
 
 Perjalanan panjang Kominfo sejak Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP) diinisiasi pada 2016. 
 @PlateJohnny
 https://t.co/lWCjn4p1tm",positif,"uu pdp disahkan! hadiah ulang tahun @kemkominfo untuk indonesia
 
 perjalanan panjang kominfo sejak rancangan undang-undang perlindungan data pribadi (ruu pdp) diinisiasi pada 2016. 
 @platejohnny
 https://t.co/lwcjn4p1tm",uu pdp disahkan! hadiah ulang tahun untuk indonesia perjalanan panjang kominfo sejak rancangan undang undang perlindungan data pribadi ruu pdp diinisiasi pada .,uu pdp disahkan! hadiah ulang tahun untuk indonesia perjalanan panjang kominfo sejak rancangan undang undang perlindungan data pribadi ruu pdp diinisiasi pada .,uu pdp disahkan ! hadiah ulang indonesia perjalanan kominfo rancangan undang undang perlindungan data pribadi ruu pdp diinisiasi .,uu pdp sah hadiah ulang indonesia jalan kominfo rancang undang undang lindung data pribadi ruu pdp inisiasi
19,"Selasa 20 September 2022, Undang Undang Perlindungan Data Pribadi disahkan dalam rapat paripurna @DPR_RI 
 
 @kemkominfo @PlateJohnny
 https://t.co/hmBoaemft4",netral,"selasa 20 september 2022, undang undang perlindungan data pribadi disahkan dalam rapat paripurna @dpr_ri 
 
 @kemkominfo @platejohnny
 https://t.co/hmboaemft4","selasa september , undang undang perlindungan data pribadi disahkan dalam rapat paripurna","selasa september , undang undang perlindungan data pribadi disahkan dalam rapat paripurna","selasa september , undang undang perlindungan data pribadi disahkan rapat paripurna",selasa september undang undang lindung data pribadi sah rapat paripurna
20,"Rapat paripurna kelima DPR, masa persidangan I tahun 2022-2023
 
 Undang-undang Perlindungan Data Pribadi (RUU PDP) resmi disahkan pada 
 Selasa (20/9/2022), 
 @PlateJohnny 
 @kemkominfo 
 @puanmaharani_ri 
 @DPR_RI https://t.co/1enL9xgRQB",netral,"rapat paripurna kelima dpr, masa persidangan i tahun 2022-2023
 
 undang-undang perlindungan data pribadi (ruu pdp) resmi disahkan pada 
 selasa (20/9/2022), 
 @platejohnny 
 @kemkominfo 
 @puanmaharani_ri 
 @dpr_ri https://t.co/1enl9xgrqb","rapat paripurna kelima dpr, masa persidangan i tahun undang undang perlindungan data pribadi ruu pdp resmi disahkan pada selasa ,","rapat paripurna kelima dpr, masa persidangan i tahun undang undang perlindungan data pribadi ruu pdp resmi disahkan pada selasa ,","rapat paripurna dpr , persidangan i undang undang perlindungan data pribadi ruu pdp resmi disahkan selasa ,",rapat paripurna dpr sidang i undang undang lindung data pribadi ruu pdp resmi sah selasa
21,"DPR mengesahkan Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP) dalam Rapat Paripurna kelima Masa Persidangan I tahun sidang 2022-2023, Selasa (20/9/2022).
 @PlateJohnny 
 @kemkominfo https://t.co/g48IzTN8aE",netral,"dpr mengesahkan rancangan undang-undang perlindungan data pribadi (ruu pdp) dalam rapat paripurna kelima masa persidangan i tahun sidang 2022-2023, selasa (20/9/2022).
 @platejohnny 
 @kemkominfo https://t.co/g48iztn8ae","dpr mengesahkan rancangan undang undang perlindungan data pribadi ruu pdp dalam rapat paripurna kelima masa persidangan i tahun sidang , selasa .","dpr mengesahkan rancangan undang undang perlindungan data pribadi ruu pdp dalam rapat paripurna kelima masa persidangan i tahun sidang , selasa .","dpr mengesahkan rancangan undang undang perlindungan data pribadi ruu pdp rapat paripurna persidangan i sidang , selasa .",dpr kesah rancang undang undang lindung data pribadi ruu pdp rapat paripurna sidang i sidang selasa
22,"@hyang_wisnu @BSSN_RI @kemkominfo @DivHumas_Polri @PlateJohnny @jokowi Pemerintah bersama DPR kini tengah bersiap lakukan pengesahan Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP).
 @kemkominfo @PlateJohnny",netral,"@hyang_wisnu @bssn_ri @kemkominfo @divhumas_polri @platejohnny @jokowi pemerintah bersama dpr kini tengah bersiap lakukan pengesahan rancangan undang-undang perlindungan data pribadi (ruu pdp).
 @kemkominfo @platejohnny",pemerintah bersama dpr kini tengah bersiap lakukan pengesahan rancangan undang undang perlindungan data pribadi ruu pdp .,pemerintah bersama dpr kini tengah bersiap lakukan pengesahan rancangan undang undang perlindungan data pribadi ruu pdp .,pemerintah dpr lakukan pengesahan rancangan undang undang perlindungan data pribadi ruu pdp .,perintah dpr laku kesah rancang undang undang lindung data pribadi ruu pdp
23,"Undang Undang Perlindungan Data Pribadi Disahkan Hari Ini. 🇮🇩
 
 @kemkominfo @PlateJohnny
 https://t.co/CGBG7SLWhi",netral,"undang undang perlindungan data pribadi disahkan hari ini. 🇮🇩
 
 @kemkominfo @platejohnny
 https://t.co/cgbg7slwhi",undang undang perlindungan data pribadi disahkan hari ini.,undang undang perlindungan data pribadi disahkan hari ini.,undang undang perlindungan data pribadi disahkan .,undang undang lindung data pribadi sah
24,"Pemerintah bersama DPR RI telah menyetujui Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP) menjadi legislasi primer untuk menjadi payung utama Pelindungan Data Pribadi di Indonesia.
 @PlateJohnny 
 @kemkominfo https://t.co/nnNuTQuXN9",netral,"pemerintah bersama dpr ri telah menyetujui rancangan undang-undang perlindungan data pribadi (ruu pdp) menjadi legislasi primer untuk menjadi payung utama pelindungan data pribadi di indonesia.
 @platejohnny 
 @kemkominfo https://t.co/nnnutquxn9",pemerintah bersama dpr ri telah menyetujui rancangan undang undang perlindungan data pribadi ruu pdp menjadi legislasi primer untuk menjadi payung utama pelindungan data pribadi di indonesia.,pemerintah bersama dpr ri telah menyetujui rancangan undang undang perlindungan data pribadi ruu pdp menjadi legislasi primer untuk menjadi payung utama pelindungan data pribadi di indonesia.,pemerintah dpr ri menyetujui rancangan undang undang perlindungan data pribadi ruu pdp legislasi primer payung utama pelindungan data pribadi indonesia .,perintah dpr ri tuju rancang undang undang lindung data pribadi ruu pdp legislasi primer payung utama lindung data pribadi indonesia
25,"@Cahaya_Dfa @Aryprasetyo85 @PlateJohnny @kemkominfo Miskin visi n misi 🤦‍♂️😭
 Kok kelasnya baru punya aturan data pribadi sj dibangga2kan
 Apa kabar dgn PDN yg gaak jelas progressnya 
 Apa kabar dgn Peduli Lindungi yg dibanggakan tp blom terdaftar PSE",negatif,"@cahaya_dfa @aryprasetyo85 @platejohnny @kemkominfo miskin visi n misi 🤦‍♂️😭
 kok kelasnya baru punya aturan data pribadi sj dibangga2kan
 apa kabar dgn pdn yg gaak jelas progressnya 
 apa kabar dgn peduli lindungi yg dibanggakan tp blom terdaftar pse",miskin visi n misi kok kelasnya baru punya aturan data pribadi sj dibangga kan apa kabar dgn pdn yg gaak jelas progressnya apa kabar dgn peduli lindungi yg dibanggakan tp blom terdaftar pse,miskin visi dan misi kok kelasnya baru punya aturan data pribadi saja dibangga kan apa kabar dengan pdn yang gaak jelas progressnya apa kabar dengan peduli lindungi yang dibanggakan tapi blom terdaftar pse,miskin visi misi kelasnya aturan data pribadi dibangga kabar pdn gak progressnya kabar peduli lindungi dibanggakan blom terdaftar pse,miskin visi misi kelas atur data pribadi bangga kabar pdn gaak progressnya kabar peduli lindung bangga blom daftar pse
26,"Dewan Perwakilan Rakyat dan Pemerintah telah menyetujui Rancangan Undang Undang (RUU) Pelindungan Data Pribadi (PDP). Selanjutnya RUU PDP tersebut akan disampaikan DPR kepada Presiden untuk disahkan dan diundangkan dalam Lembaran Negara.
 @kemkominfo @jokowi @PlateJohnny https://t.co/o3YgHK4DcR",netral,"dewan perwakilan rakyat dan pemerintah telah menyetujui rancangan undang undang (ruu) pelindungan data pribadi (pdp). selanjutnya ruu pdp tersebut akan disampaikan dpr kepada presiden untuk disahkan dan diundangkan dalam lembaran negara.
 @kemkominfo @jokowi @platejohnny https://t.co/o3yghk4dcr",dewan perwakilan rakyat dan pemerintah telah menyetujui rancangan undang undang ruu pelindungan data pribadi pdp . selanjutnya ruu pdp tersebut akan disampaikan dpr kepada presiden untuk disahkan dan diundangkan dalam lembaran negara.,dewan perwakilan rakyat dan pemerintah telah menyetujui rancangan undang undang ruu pelindungan data pribadi pdp . selanjutnya ruu pdp tersebut akan disampaikan dpr kepada presiden untuk disahkan dan diundangkan dalam lembaran negara.,dewan perwakilan rakyat pemerintah menyetujui rancangan undang undang ruu pelindungan data pribadi pdp . ruu pdp dpr presiden disahkan diundangkan lembaran negara .,dewan wakil rakyat perintah tuju rancang undang undang ruu lindung data pribadi pdp ruu pdp dpr presiden sah undang lembar negara
27,"Jadi Tonggak Sejarah, Menteri @PlateJohnny Dorong Partisipasi Publik Terapkan UU PDP
 
 Pemerintah bersama DPR RI telah menyetujui Rancangan Undang-Undang Perlindungan Data Pribadi (RUU PDP) menjadi legislasi primer untuk menjadi payung utama Pelindungan Data Pribadi di Indonesia. https://t.co/LAMK84ZHu0",netral,"jadi tonggak sejarah, menteri @platejohnny dorong partisipasi publik terapkan uu pdp
 
 pemerintah bersama dpr ri telah menyetujui rancangan undang-undang perlindungan data pribadi (ruu pdp) menjadi legislasi primer untuk menjadi payung utama pelindungan data pribadi di indonesia. https://t.co/lamk84zhu0","jadi tonggak sejarah, menteri dorong partisipasi publik terapkan uu pdp pemerintah bersama dpr ri telah menyetujui rancangan undang undang perlindungan data pribadi ruu pdp menjadi legislasi primer untuk menjadi payung utama pelindungan data pribadi di indonesia.","jadi tonggak sejarah, menteri dorong partisipasi publik terapkan uu pdp pemerintah bersama dpr ri telah menyetujui rancangan undang undang perlindungan data pribadi ruu pdp menjadi legislasi primer untuk menjadi payung utama pelindungan data pribadi di indonesia.","tonggak sejarah , menteri dorong partisipasi publik terapkan uu pdp pemerintah dpr ri menyetujui rancangan undang undang perlindungan data pribadi ruu pdp legislasi primer payung utama pelindungan data pribadi indonesia .",tonggak sejarah menteri dorong partisipasi publik terap uu pdp perintah dpr ri tuju rancang undang undang lindung data pribadi ruu pdp legislasi primer payung utama lindung data pribadi indonesia
